research|contato|question|wording|order_question|cidade|bairro|sex|answer|research_name|region|Faixa etária|Religião
0|194|40|24-Abilio ou Fábio Garcia ?|24|Cuiabá|Vazio|A|Não sabe ou não respondeu|Quanti Cuiabá|Vazio|Não sabe ou não respondeu|Não tem ou Não quer responder
0|194|41|25-Abílio ou Lúdio ?|25|Cuiabá|Vazio|A|Não sabe ou não respondeu|Quanti Cuiabá|Vazio|Não sabe ou não respondeu|Não tem ou Não quer responder
0|194|42|26-Botelho ou Fábio Garcia ?|26|Cuiabá|Vazio|A|Não sabe ou não respondeu|Quanti Cuiabá|Vazio|Não sabe ou não respondeu|Não tem ou Não quer responder
0|194|43|27-Botelho ou Lúdio ?|27|Cuiabá|Vazio|A|Não sabe ou não respondeu|Quanti Cuiabá|Vazio|Não sabe ou não respondeu|Não tem ou Não quer responder
0|194|44|28-Lúdio ou Fábio Garcia ?|28|Cuiabá|Vazio|A|Não sabe ou não respondeu|Quanti Cuiabá|Vazio|Não sabe ou não respondeu|Não tem ou Não quer responder
0|194|46|29-Você apoia a legalização do aborto no Brasil?|29|Cuiabá|Vazio|A|Não sabe ou não respondeu|Quanti Cuiabá|Vazio|Não sabe ou não respondeu|Não tem ou Não quer responder
0|194|47|36-Você apoia a legítima defesa armada no Brasil? Nesse sentido, vc apoia o armamento civil para cidadãos que desejarem?|36|Cuiabá|Vazio|A|Não sabe ou não respondeu|Quanti Cuiabá|Vazio|Não sabe ou não respondeu|Não tem ou Não quer responder
0|194|1000|01-Você professa alguma religião? Qual?|1|Cuiabá|Vazio|A|Não tem ou Não quer responder|Quanti Cuiabá|Vazio|Não sabe ou não respondeu|Não tem ou Não quer responder
0|194|1001|02-Você pretende votar nas próximas eleições para Prefeito de Cuiabá?|2|Cuiabá|Vazio|A|Não sabe ou não respondeu|Quanti Cuiabá|Vazio|Não sabe ou não respondeu|Não tem ou Não quer responder
0|194|1002|03-Qual sua idade?|3|Cuiabá|Vazio|A|Não sabe ou não respondeu|Quanti Cuiabá|Vazio|Não sabe ou não respondeu|Não tem ou Não quer responder
0|194|1003|04-Você diria que a atual gestão do Prefeito Emanuel Pinheiro é:|4|Cuiabá|Vazio|A|Não sabe ou não respondeu|Quanti Cuiabá|Vazio|Não sabe ou não respondeu|Não tem ou Não quer responder
0|194|1004|05-Você diria que a atual gestão do Governador Mauro Mendes é:|5|Cuiabá|Vazio|A|Não sabe ou não respondeu|Quanti Cuiabá|Vazio|Não sabe ou não respondeu|Não tem ou Não quer responder
0|194|1005|06-Você diria que a atual gestão do Presidente Lula é:|6|Cuiabá|Vazio|A|Não sabe ou não respondeu|Quanti Cuiabá|Vazio|Não sabe ou não respondeu|Não tem ou Não quer responder
0|194|1006|07-Você diria que a Saúde Pública em Cuiabá está:|7|Cuiabá|Vazio|A|Não sabe ou não respondeu|Quanti Cuiabá|Vazio|Não sabe ou não respondeu|Não tem ou Não quer responder
0|194|1007|08-Quem administra a Saúde Pública em Cuiabá:|8|Cuiabá|Vazio|A|Não sabe ou não respondeu|Quanti Cuiabá|Vazio|Não sabe ou não respondeu|Não tem ou Não quer responder
0|194|1008|09-Você já ouviu falar sobre a intervenção na Saúde Pública em Cuiabá:|9|Cuiabá|Vazio|A|Não sabe ou não respondeu|Quanti Cuiabá|Vazio|Não sabe ou não respondeu|Não tem ou Não quer responder
